太阳直播,#genre#
动漫直播,http://159.75.85.63:35455/douyu/1487654
音乐演唱会,http://159.75.85.63:35455/douyu/7537296
片源多多,http://159.75.85.63:35455/douyu/7476264
精彩影播,http://159.75.85.63:35455/douyu/9388931
热门音乐,http://159.75.85.63:35455/douyu/3870925
清晨醒脑,http://159.75.85.63:35455/douyu/17732
大漠叔叔Dm,http://159.75.85.63:35455/douyu/1109218
动漫花园,http://159.75.85.63:35455/douyu/426517
香港赌片,http://159.75.85.63:35455/douyu/315457
美食纪录片,http://159.75.85.63:35455/douyu/9290734
你还有遗憾吗,http://159.75.85.63:35455/douyu/9017971
阿德影视,http://159.75.85.63:35455/douyu/6052703
Kpop女团,http://159.75.85.63:35455/douyu/329667
喜剧电影,http://159.75.85.63:35455/douyu/9292492
经典喜剧动作,http://159.75.85.63:35455/douyu/6566671
欧美日韩国产,http://159.75.85.63:35455/douyu/36337
让弹幕飞一会。,http://159.75.85.63:35455/douyu/4523233
人人都是英雄,http://159.75.85.63:35455/douyu/7473576
【RM-点播】点播！模式-24H欢乐不断,http://159.75.85.63:35455/douyu/131977#https://www.goodiptv.club/douyu/131977
【神剧】经典神剧,http://159.75.85.63:35455/douyu/3700024

斗鱼电影1,#genre#
影厅1,http://159.75.85.63:35455/douyu/6537888#https://www.goodiptv.club/douyu/6537888
影厅2,http://159.75.85.63:35455/douyu/36337#https://www.goodiptv.club/douyu/36337
影厅3,http://159.75.85.63:35455/douyu/263824#https://www.goodiptv.club/douyu/263824
影厅4,http://159.75.85.63:35455/douyu/431460#https://www.goodiptv.club/douyu/431460
影厅5,http://159.75.85.63:35455/douyu/5423#https://www.goodiptv.club/douyu/5423
影厅6,http://159.75.85.63:35455/douyu/52787#https://www.goodiptv.club/douyu/52787
影厅7,http://159.75.85.63:35455/douyu/6140589#https://www.goodiptv.club/douyu/6140589
影厅8,http://159.75.85.63:35455/douyu/4246519#https://www.goodiptv.club/douyu/4246519
影厅9,http://159.75.85.63:35455/douyu/7136517#https://www.goodiptv.club/douyu/7136517
影厅10,http://159.75.85.63:35455/douyu/7116591#https://www.goodiptv.club/douyu/7116591
影厅11,http://159.75.85.63:35455/douyu/5635000#https://www.goodiptv.club/douyu/5635000
影厅13,http://159.75.85.63:35455/douyu/1171463#https://www.goodiptv.club/douyu/1171463
影厅14,http://159.75.85.63:35455/douyu/6776615#https://www.goodiptv.club/douyu/6776615
影厅15,http://159.75.85.63:35455/douyu/2288676#https://www.goodiptv.club/douyu/2288676
影厅16,http://159.75.85.63:35455/douyu/1979257#https://www.goodiptv.club/douyu/1979257
影厅17,http://159.75.85.63:35455/douyu/434971#https://www.goodiptv.club/douyu/434971
影厅18,http://159.75.85.63:35455/douyu/323876#https://www.goodiptv.club/douyu/323876
影厅19,http://159.75.85.63:35455/douyu/3928#https://www.goodiptv.club/douyu/3928
影厅20,http://159.75.85.63:35455/douyu/6949033#https://www.goodiptv.club/douyu/6949033
影厅21,http://159.75.85.63:35455/douyu/1504768#https://www.goodiptv.club/douyu/1504768
影厅22,http://159.75.85.63:35455/douyu/8413908#https://www.goodiptv.club/douyu/8413908
影厅23,http://159.75.85.63:35455/douyu/7494871#https://www.goodiptv.club/douyu/7494871
影厅24,http://159.75.85.63:35455/douyu/6808473#https://www.goodiptv.club/douyu/6808473
影厅25,http://159.75.85.63:35455/douyu/8661527#https://www.goodiptv.club/douyu/8661527
影厅26,http://159.75.85.63:35455/douyu/8413092#https://www.goodiptv.club/douyu/8413092
影厅27,http://159.75.85.63:35455/douyu/6079455#https://www.goodiptv.club/douyu/6079455
影厅28,http://159.75.85.63:35455/douyu/8461020#https://www.goodiptv.club/douyu/8461020
影厅29,http://159.75.85.63:35455/douyu/8657920#https://www.goodiptv.club/douyu/8657920
影厅30,http://159.75.85.63:35455/douyu/85894#https://www.goodiptv.club/douyu/85894
影厅31,http://159.75.85.63:35455/douyu/6596220#https://www.goodiptv.club/douyu/6596220
影厅32,http://159.75.85.63:35455/douyu/6497464#https://www.goodiptv.club/douyu/6497464
影厅33,http://159.75.85.63:35455/douyu/20415#https://www.goodiptv.club/douyu/20415
影厅35,http://159.75.85.63:35455/douyu/122402#https://www.goodiptv.club/douyu/122402
影厅36,http://159.75.85.63:35455/douyu/6799973#https://www.goodiptv.club/douyu/6799973
影厅37,http://159.75.85.63:35455/douyu/6632254#https://www.goodiptv.club/douyu/6632254
影厅38,http://159.75.85.63:35455/douyu/96577#https://www.goodiptv.club/douyu/96577
影厅39,http://159.75.85.63:35455/douyu/2935323#https://www.goodiptv.club/douyu/2935323
影厅40,http://159.75.85.63:35455/douyu/315457#https://www.goodiptv.club/douyu/315457
影厅41,http://159.75.85.63:35455/douyu/248753#https://www.goodiptv.club/douyu/248753
影厅42,http://159.75.85.63:35455/douyu/7270927#https://www.goodiptv.club/douyu/7270927
影厅43,http://159.75.85.63:35455/douyu/1409682#https://www.goodiptv.club/douyu/1409682
影厅44,http://159.75.85.63:35455/douyu/1955264#https://www.goodiptv.club/douyu/1955264
影厅45,http://159.75.85.63:35455/douyu/2337939#https://www.goodiptv.club/douyu/2337939
影厅46,http://159.75.85.63:35455/douyu/8014575#https://www.goodiptv.club/douyu/8014575
影厅47,http://159.75.85.63:35455/douyu/3637726#https://www.goodiptv.club/douyu/3637726
影厅48,http://159.75.85.63:35455/douyu/3392656#https://www.goodiptv.club/douyu/3392656

影厅50,http://159.75.85.63:35455/douyu/4167368#https://www.goodiptv.club/douyu/4167368
斗鱼电影2,#genre#
影厅51,http://159.75.85.63:35455/douyu/1226741#https://www.goodiptv.club/douyu/1226741
影厅52,http://159.75.85.63:35455/douyu/6896398#https://www.goodiptv.club/douyu/6896398
影厅53,http://159.75.85.63:35455/douyu/6854590#https://www.goodiptv.club/douyu/6854590
影厅54,http://159.75.85.63:35455/douyu/3619464#https://www.goodiptv.club/douyu/3619464
影厅55,http://159.75.85.63:35455/douyu/3568481#https://www.goodiptv.club/douyu/3568481
影厅56,http://159.75.85.63:35455/douyu/668785#https://www.goodiptv.club/douyu/668785
影厅57,http://159.75.85.63:35455/douyu/3637778#https://www.goodiptv.club/douyu/3637778
影厅58,http://159.75.85.63:35455/douyu/7582564#https://www.goodiptv.club/douyu/7582564
影厅59,http://159.75.85.63:35455/douyu/7221304#https://www.goodiptv.club/douyu/7221304
影厅61,http://159.75.85.63:35455/douyu/7356023#https://www.goodiptv.club/douyu/7356023
影厅62,http://159.75.85.63:35455/douyu/8656759#https://www.goodiptv.club/douyu/8656759
影厅63,http://159.75.85.63:35455/douyu/5658951#https://www.goodiptv.club/douyu/5658951
影厅64,http://159.75.85.63:35455/douyu/8611011#https://www.goodiptv.club/douyu/8611011
影厅65,http://159.75.85.63:35455/douyu/2436390#https://www.goodiptv.club/douyu/2436390
影厅66,http://159.75.85.63:35455/douyu/7842226#https://www.goodiptv.club/douyu/7842226
影厅67,http://159.75.85.63:35455/douyu/2317390#https://www.goodiptv.club/douyu/2317390
影厅68,http://159.75.85.63:35455/douyu/5422706#https://www.goodiptv.club/douyu/5422706
影厅69,http://159.75.85.63:35455/douyu/4505431#https://www.goodiptv.club/douyu/4505431
影厅70,http://159.75.85.63:35455/douyu/6863367#https://www.goodiptv.club/douyu/6863367
影厅71,http://159.75.85.63:35455/douyu/2987100#https://www.goodiptv.club/douyu/2987100
影厅72,http://159.75.85.63:35455/douyu/6369954#https://www.goodiptv.club/douyu/6369954
影厅73,http://159.75.85.63:35455/douyu/771006#https://www.goodiptv.club/douyu/771006
影厅74,http://159.75.85.63:35455/douyu/498772#https://www.goodiptv.club/douyu/498772
影厅75,http://159.75.85.63:35455/douyu/5926392#https://www.goodiptv.club/douyu/5926392
影厅76,http://159.75.85.63:35455/douyu/638963#https://www.goodiptv.club/douyu/638963

影厅78,http://159.75.85.63:35455/douyu/8058642#https://www.goodiptv.club/douyu/8058642
影厅79,http://159.75.85.63:35455/douyu/805235#https://www.goodiptv.club/douyu/805235
影厅80,http://159.75.85.63:35455/douyu/8706129#https://www.goodiptv.club/douyu/8706129
影厅81,http://159.75.85.63:35455/douyu/3870925#https://www.goodiptv.club/douyu/3870925
影厅82,http://159.75.85.63:35455/douyu/4944033#https://www.goodiptv.club/douyu/4944033
影厅83,http://159.75.85.63:35455/douyu/7925840#https://www.goodiptv.club/douyu/7925840
影厅84,http://159.75.85.63:35455/douyu/5448413#https://www.goodiptv.club/douyu/5448413
影厅85,http://159.75.85.63:35455/douyu/920389#https://www.goodiptv.club/douyu/920389
影厅86,http://159.75.85.63:35455/douyu/6167524#https://www.goodiptv.club/douyu/6167524
影厅87,http://159.75.85.63:35455/douyu/7305938#https://www.goodiptv.club/douyu/7305938
影厅88,http://159.75.85.63:35455/douyu/4360596#https://www.goodiptv.club/douyu/4360596
影厅89,http://159.75.85.63:35455/douyu/4373285#https://www.goodiptv.club/douyu/4373285
影厅90,http://159.75.85.63:35455/douyu/6785471#https://www.goodiptv.club/douyu/6785471
影厅91,http://159.75.85.63:35455/douyu/229743#https://www.goodiptv.club/douyu/229743
影厅92,http://159.75.85.63:35455/douyu/7537296#https://www.goodiptv.club/douyu/7537296
影厅93,http://159.75.85.63:35455/douyu/5508997#https://www.goodiptv.club/douyu/5508997
影厅94,http://159.75.85.63:35455/douyu/4396972#https://www.goodiptv.club/douyu/4396972
影厅95,http://159.75.85.63:35455/douyu/4549169#https://www.goodiptv.club/douyu/4549169
影厅96,http://159.75.85.63:35455/douyu/4523233#https://www.goodiptv.club/douyu/4523233
影厅97,http://159.75.85.63:35455/douyu/8867878#https://www.goodiptv.club/douyu/8867878
影厅98,http://159.75.85.63:35455/douyu/8166878#https://www.goodiptv.club/douyu/8166878
影厅99,http://159.75.85.63:35455/douyu/7655471#https://www.goodiptv.club/douyu/7655471
影厅100,http://159.75.85.63:35455/douyu/8168353#https://www.goodiptv.club/douyu/8168353
斗鱼电影3,#genre#
影厅101,http://159.75.85.63:35455/douyu/7673566#https://www.goodiptv.club/douyu/7673566
影厅102,http://159.75.85.63:35455/douyu/5802446#https://www.goodiptv.club/douyu/5802446
影厅103,http://159.75.85.63:35455/douyu/875795#https://www.goodiptv.club/douyu/875795
影厅104,http://159.75.85.63:35455/douyu/7254536#https://www.goodiptv.club/douyu/7254536
影厅105,http://159.75.85.63:35455/douyu/4290711#https://www.goodiptv.club/douyu/4290711
影厅106,http://159.75.85.63:35455/douyu/5655535#https://www.goodiptv.club/douyu/5655535
影厅107,http://159.75.85.63:35455/douyu/668785#https://www.goodiptv.club/douyu/668785
影厅108,http://159.75.85.63:35455/douyu/6566671#https://www.goodiptv.club/douyu/6566671
影厅109,http://159.75.85.63:35455/douyu/8580340#https://www.goodiptv.club/douyu/8580340
影厅110,http://159.75.85.63:35455/douyu/8415464#https://www.goodiptv.club/douyu/8415464
影厅111,http://159.75.85.63:35455/douyu/8475821#https://www.goodiptv.club/douyu/8475821
影厅112,http://159.75.85.63:35455/douyu/5088784#https://www.goodiptv.club/douyu/5088784
影厅113,http://159.75.85.63:35455/douyu/5522351#https://www.goodiptv.club/douyu/5522351
影厅114,http://159.75.85.63:35455/douyu/562225#https://www.goodiptv.club/douyu/562225
影厅115,http://159.75.85.63:35455/douyu/223521#https://www.goodiptv.club/douyu/223521
影厅116,http://159.75.85.63:35455/douyu/8651489#https://www.goodiptv.club/douyu/8651489
影厅117,http://159.75.85.63:35455/douyu/338759#https://www.goodiptv.club/douyu/338759
影厅118,http://159.75.85.63:35455/douyu/4631599#https://www.goodiptv.club/douyu/4631599
影厅119,http://159.75.85.63:35455/douyu/953193#https://www.goodiptv.club/douyu/953193
影厅120,http://159.75.85.63:35455/douyu/5354713#https://www.goodiptv.club/douyu/5354713
影厅121,http://159.75.85.63:35455/douyu/7459925#https://www.goodiptv.club/douyu/7459925
影厅122,http://159.75.85.63:35455/douyu/3485629#https://www.goodiptv.club/douyu/3485629
影厅123,http://159.75.85.63:35455/douyu/3811092#https://www.goodiptv.club/douyu/3811092
影厅124,http://159.75.85.63:35455/douyu/2793084#https://www.goodiptv.club/douyu/2793084
影厅125,http://159.75.85.63:35455/douyu/5067952#https://www.goodiptv.club/douyu/5067952
影厅126,http://159.75.85.63:35455/douyu/6763930#https://www.goodiptv.club/douyu/6763930
影厅127,http://159.75.85.63:35455/douyu/5503962#https://www.goodiptv.club/douyu/5503962
影厅128,http://159.75.85.63:35455/douyu/675072#https://www.goodiptv.club/douyu/675072
影厅129,http://159.75.85.63:35455/douyu/413573#https://www.goodiptv.club/douyu/413573
影厅130,http://159.75.85.63:35455/douyu/8014467#https://www.goodiptv.club/douyu/8014467
影厅131,http://159.75.85.63:35455/douyu/7029806#https://www.goodiptv.club/douyu/7029806
影厅132,http://159.75.85.63:35455/douyu/2466104#https://www.goodiptv.club/douyu/2466104
影厅133,http://159.75.85.63:35455/douyu/5192695#https://www.goodiptv.club/douyu/5192695
影厅134,http://159.75.85.63:35455/douyu/6725858#https://www.goodiptv.club/douyu/6725858
影厅135,http://159.75.85.63:35455/douyu/7476264#https://www.goodiptv.club/douyu/7476264
影厅136,http://159.75.85.63:35455/douyu/5689514#https://www.goodiptv.club/douyu/5689514
影厅137,http://159.75.85.63:35455/douyu/1274132#https://www.goodiptv.club/douyu/1274132
影厅138,http://159.75.85.63:35455/douyu/326852#https://www.goodiptv.club/douyu/326852
影厅139,http://159.75.85.63:35455/douyu/5129261#https://www.goodiptv.club/douyu/5129261
影厅140,http://159.75.85.63:35455/douyu/508118#https://www.goodiptv.club/douyu/508118
影厅141,http://159.75.85.63:35455/douyu/7623292#https://www.goodiptv.club/douyu/7623292
影厅142,http://159.75.85.63:35455/douyu/105265#https://www.goodiptv.club/douyu/105265
影厅143,http://159.75.85.63:35455/douyu/7314294#https://www.goodiptv.club/douyu/7314294
影厅144,http://159.75.85.63:35455/douyu/6732990#https://www.goodiptv.club/douyu/6732990
影厅145,http://159.75.85.63:35455/douyu/5033502#https://www.goodiptv.club/douyu/5033502
影厅146,http://159.75.85.63:35455/douyu/436240#https://www.goodiptv.club/douyu/436240
影厅147,http://159.75.85.63:35455/douyu/7226091#https://www.goodiptv.club/douyu/7226091
影厅148,http://159.75.85.63:35455/douyu/6786937#https://www.goodiptv.club/douyu/6786937
影厅149,http://159.75.85.63:35455/douyu/6582435#https://www.goodiptv.club/douyu/6582435
影厅150,http://159.75.85.63:35455/douyu/3980787#https://www.goodiptv.club/douyu/3980787
斗鱼电影4,#genre#
影厅151,http://159.75.85.63:35455/douyu/426517#https://www.goodiptv.club/douyu/426517
影厅152,http://159.75.85.63:35455/douyu/1543154#https://www.goodiptv.club/douyu/1543154
影厅153,http://159.75.85.63:35455/douyu/8799435#https://www.goodiptv.club/douyu/8799435
影厅154,http://159.75.85.63:35455/douyu/218859#https://www.goodiptv.club/douyu/218859
影厅155,http://159.75.85.63:35455/douyu/4258555#https://www.goodiptv.club/douyu/4258555
影厅156,http://159.75.85.63:35455/douyu/785252#https://www.goodiptv.club/douyu/785252
影厅157,http://159.75.85.63:35455/douyu/8362978#https://www.goodiptv.club/douyu/8362978
影厅158,http://159.75.85.63:35455/douyu/8788687#https://www.goodiptv.club/douyu/8788687
影厅159,http://159.75.85.63:35455/douyu/1735337#https://www.goodiptv.club/douyu/1735337
影厅160,http://159.75.85.63:35455/douyu/8741860#https://www.goodiptv.club/douyu/8741860
影厅161,http://159.75.85.63:35455/douyu/8774345#https://www.goodiptv.club/douyu/8774345
影厅162,http://159.75.85.63:35455/douyu/8116528#https://www.goodiptv.club/douyu/8116528
影厅163,http://159.75.85.63:35455/douyu/8768613#https://www.goodiptv.club/douyu/8768613
影厅164,http://159.75.85.63:35455/douyu/8413226#https://www.goodiptv.club/douyu/8413226
影厅165,http://159.75.85.63:35455/douyu/8705754#https://www.goodiptv.club/douyu/8705754
影厅166,http://159.75.85.63:35455/douyu/5581257#https://www.goodiptv.club/douyu/5581257
影厅167,http://159.75.85.63:35455/douyu/7712894#https://www.goodiptv.club/douyu/7712894
影厅168,http://159.75.85.63:35455/douyu/6861249#https://www.goodiptv.club/douyu/6861249
影厅169,http://159.75.85.63:35455/douyu/7528160#https://www.goodiptv.club/douyu/7528160
影厅170,http://159.75.85.63:35455/douyu/1377142#https://www.goodiptv.club/douyu/1377142
影厅171,http://159.75.85.63:35455/douyu/8706084#https://www.goodiptv.club/douyu/8706084
影厅172,http://159.75.85.63:35455/douyu/2040822#https://www.goodiptv.club/douyu/2040822
影厅173,http://159.75.85.63:35455/douyu/8408317#https://www.goodiptv.club/douyu/8408317
影厅174,http://159.75.85.63:35455/douyu/8317926#https://www.goodiptv.club/douyu/8317926
影厅175,http://159.75.85.63:35455/douyu/8313496#https://www.goodiptv.club/douyu/8313496
影厅176,http://159.75.85.63:35455/douyu/7672838#https://www.goodiptv.club/douyu/7672838
影厅177,http://159.75.85.63:35455/douyu/9292492#https://www.goodiptv.club/douyu/9292492

新版三国,http://159.75.85.63:35455/douyu/276200#https://www.goodiptv.club/douyu/276200
四大名著,http://159.75.85.63:35455/douyu/1046540#https://www.goodiptv.club/douyu/1046540#https://cn-nmghhht-cu-live-03.bilivideo.com/live-bvc/725073/live_3002469_4192488.m3u8
家有儿女,http://159.75.85.63:35455/douyu/6648727#https://www.goodiptv.club/douyu/6648727
真实案例,http://159.75.85.63:35455/douyu/922564#https://www.goodiptv.club/douyu/922564
地下交通站,http://159.75.85.63:35455/douyu/299854#https://www.goodiptv.club/douyu/299854
燕双鹰系列,http://159.75.85.63:35455/douyu/3439096#https://www.goodiptv.club/douyu/3439096
神探狄仁杰,http://159.75.85.63:35455/douyu/6027991#https://www.goodiptv.club/douyu/6027991
铁齿铜牙纪晓岚,https://cn-nmghhht-cu-live-03.bilivideo.com/live-bvc/805868/live_391663120_60721084.m3u8#https://cn-nmghhht-cu-live-03.bilivideo.com/live-bvc/296525/live_20200345_78309519.m3u8
杨光的快乐生活,http://159.75.85.63:35455/douyu/6899895#https://www.goodiptv.club/douyu/6899895
斯祥,http://159.75.85.63:35455/douyu/2311698#https://www.goodiptv.club/douyu/2311698
白鲨,http://159.75.85.63:35455/douyu/12821#https://www.goodiptv.club/douyu/12821
年鹏,http://159.75.85.63:35455/douyu/5389181#https://www.goodiptv.club/douyu/5389181
念旧,http://159.75.85.63:35455/douyu/10241086#https://www.goodiptv.club/douyu/10241086
宠儿,http://159.75.85.63:35455/huya/117979#https://www.goodiptv.club/douyu/117979
浩南,http://159.75.85.63:35455/huya/563234#https://www.goodiptv.club/douyu/563234
飞段,http://159.75.85.63:35455/huya/10918#https://www.goodiptv.club/douyu/10918
绝迹,http://159.75.85.63:35455/huya/115959#https://www.goodiptv.club/douyu/115959
加菲,http://159.75.85.63:35455/douyu/47895#https://www.goodiptv.club/douyu/47895
漠然,http://159.75.85.63:35455/douyu/11112#https://www.goodiptv.club/douyu/11112
秀bi,http://159.75.85.63:35455/douyu/22690#https://www.goodiptv.club/douyu/22690
王振,http://159.75.85.63:35455/douyu/24939#https://www.goodiptv.club/douyu/24939
石头,http://159.75.85.63:35455/douyu/255287#https://www.goodiptv.club/douyu/255287
常旭,http://159.75.85.63:35455/douyu/9442053#https://www.goodiptv.club/douyu/9442053
飞机文,http://159.75.85.63:35455/huya/155525
赵山河,http://159.75.85.63:35455/douyu/435504#https://www.goodiptv.club/douyu/435504


【万合天宜】王大锤情怀上线,http://159.75.85.63:35455/douyu/9220456
【特辑电影】万元现金天选之子,http://159.75.85.63:35455/douyu/3637778
【庆帝】云淡风轻正闲处，鲜衣怒马少年时,http://159.75.85.63:35455/douyu/7489563
【青铜椁】大道龙行自有真 飘忽隐现是龙身,http://159.75.85.63:35455/douyu/9292503
❤️奶虫❤️恐怖 丧尸 鬼片 灾难科幻,http://159.75.85.63:35455/douyu/263824
开心情景剧-超清去片头片尾,http://159.75.85.63:35455/douyu/6648727
❤️怡寳❤️  港台 科幻 喜剧,http://159.75.85.63:35455/douyu/434971
水友最爱看的电影,http://159.75.85.63:35455/douyu/10240553
【丶阳丶光影】,http://159.75.85.63:35455/douyu/10982673
弹幕指挥军队  弹幕星际大乱斗!,http://159.75.85.63:35455/douyu/10946940
贾队长~原版独播、,http://159.75.85.63:35455/douyu/6778282
❤️小饼❤️一个神秘的电影直播间,http://159.75.85.63:35455/douyu/1735337
元芳到底看不看,http://159.75.85.63:35455/douyu/6027991
【冤案】夫斯乃上蔡布衣，闾巷之黔首,http://159.75.85.63:35455/douyu/6706214
【瑶瑶】童年阴影 鬼片 恐怖 惊悚,http://159.75.85.63:35455/douyu/2935323
【Liz陪看】科幻 悬疑 灾难 喜剧……,http://159.75.85.63:35455/douyu/7254536
【吐槽】吐槽一下，快乐一天,http://159.75.85.63:35455/douyu/9236042
【朱棣】笑天下可笑之人,http://159.75.85.63:35455/douyu/308752
【更新】最全斗牌、麻将剧集解说,http://159.75.85.63:35455/douyu/9559158

腰子and伦巴,http://159.75.85.63:35455/douyu/6899895
【科幻片】最专业的科幻片解说,http://159.75.85.63:35455/douyu/9338839
【柯南】外表看似小孩，智慧却过于常人,http://159.75.85.63:35455/douyu/6484910
【邵氏影院】经典武侠 动作 老电影你懂的,http://159.75.85.63:35455/douyu/4246519
【表妹】国产青春 动作 喜剧轮播,http://159.75.85.63:35455/douyu/5423
「橙記」「最人气追剧直播间」,http://159.75.85.63:35455/douyu/4549169
【倍速播放】快乐会加倍！,http://159.75.85.63:35455/douyu/4105989
来呀官人，都是你的梦,http://159.75.85.63:35455/douyu/9986305
走进“柯”学，西瓜讲柯南的案件~,http://159.75.85.63:35455/douyu/9065082
【片片】片荒的时候看片片,http://159.75.85.63:35455/douyu/4258555
【百晓生】经典武侠解说,http://159.75.85.63:35455/douyu/9649681
【洗碗君】 解说 爷青回！,http://159.75.85.63:35455/douyu/9446706
扑朔迷离的案件里隐藏着什么？,http://159.75.85.63:35455/douyu/610972
【贝贝】军旅 历史 古装 喜剧 动作,http://159.75.85.63:35455/douyu/431460
【虫哥】魔性吐槽童年回忆,http://159.75.85.63:35455/douyu/8915074
【体育】聊聊科比、乔丹传奇故事,http://159.75.85.63:35455/douyu/8434598
【周末电影】你很会打吗？,http://159.75.85.63:35455/douyu/3637765
【恐怖影厅】胆小勿入,http://159.75.85.63:35455/douyu/3637726
【樱木花道灌篮】PP动漫精彩解说,http://159.75.85.63:35455/douyu/9837291


【史君说剧】史君说尽天下好剧,http://159.75.85.63:35455/douyu/9419771
【拳叔】那些经典的动漫,http://159.75.85.63:35455/douyu/9484105
我在澜晚湾备考。,http://159.75.85.63:35455/douyu/9461178
✨神乐✨华语 经典 电影 沈腾 周星驰,http://159.75.85.63:35455/douyu/85894
【漫威】漫威主线剧情 最佳观影顺序,http://159.75.85.63:35455/douyu/6140589
已更新！聊聊武侠与江湖,http://159.75.85.63:35455/douyu/8986636
【蓝翔】弹幕天团、下饭神剧[请勿刷屏],http://159.75.85.63:35455/douyu/276200
带你领略宇宙星海—碎片记,http://159.75.85.63:35455/douyu/9412981
【龙门】天山勾地火，宝塔镇蛇妖,http://159.75.85.63:35455/douyu/9650860
【悬疑】都市猎奇传说、恐怖故事,http://159.75.85.63:35455/douyu/2337939
【點點尬舞】60帧 科幻 动作 喜剧电影,http://159.75.85.63:35455/douyu/323876
✨周星驰✨星爷 华语 成龙 电影 神乐,http://159.75.85.63:35455/douyu/122402
【刘德华】庆祝华仔出道40周年,http://159.75.85.63:35455/douyu/2516864
【豆瓣高分】史上最佳影片大放送,http://159.75.85.63:35455/douyu/8770422
精彩电影一网打尽。,http://159.75.85.63:35455/douyu/9650887

【1900影剧室】精讲剧场,http://159.75.85.63:35455/douyu/7796193
战斗吧！热血动漫全看,http://159.75.85.63:35455/douyu/9641152
你好.我叫牛奶,http://159.75.85.63:35455/douyu/7494871
【贤于葛格】最会讲电影的贤于来啦,http://159.75.85.63:35455/douyu/9461990

迷小雅最新爽剧解说,http://159.75.85.63:35455/douyu/9639225
【林正英】僵尸 女鬼 弹幕 护体,http://159.75.85.63:35455/douyu/218859
[兔兔陪看]撸猫观影聊天室,http://159.75.85.63:35455/douyu/1504768
【雍正康熙】帝王故事连连看,http://159.75.85.63:35455/douyu/4808115
【韦小宝】春辞小院离离影，夜受轻衫漠漠香,http://159.75.85.63:35455/douyu/7473576
速进！新片放映中！,http://159.75.85.63:35455/douyu/10240510
史剧解说洪武年间大案,http://159.75.85.63:35455/douyu/297689
【悬疑】古今中外犯罪录,http://159.75.85.63:35455/douyu/9171887
你想看的电影，我都有！,http://159.75.85.63:35455/douyu/10240539
【悬疑】午夜惊悚乐园，点上关注带你探险！,http://159.75.85.63:35455/douyu/9075333
机智帅气的一炫君的直播间,http://159.75.85.63:35455/douyu/3705472
【康熙】张国立在线扫H除恶,http://159.75.85.63:35455/douyu/7550220
【金庸宇宙】江湖恩江湖了,http://159.75.85.63:35455/douyu/10240518
【令狐冲】什么是江湖,http://159.75.85.63:35455/douyu/9653063
长工带你一起来追剧,http://159.75.85.63:35455/douyu/8869614
【雍正】人无伤虎意 虎有吃人心,http://159.75.85.63:35455/douyu/9650836
【雍正、杨贵妃】剧集精讲,http://159.75.85.63:35455/douyu/9660127
【霍格沃茨】伟大引起嫉妒，嫉妒导致怨毒,http://159.75.85.63:35455/douyu/8814650
【短剧】高能反转，悬疑、离奇短剧不停,http://159.75.85.63:35455/douyu/10240505
宇宙的尽头是什么？,http://159.75.85.63:35455/douyu/9456028
❤️胡一菲❤️曾小贤❤️你在哪里呢？,http://159.75.85.63:35455/douyu/6863367
【老王】经典电影看不停,http://159.75.85.63:35455/douyu/9687733
口音贼重的解说直播间,http://159.75.85.63:35455/douyu/9734098
【宇哥】极限惊悚，无限反转,http://159.75.85.63:35455/douyu/8651489
